Player	Yr		Team 	G 	AB 	R 	H 	2B 	3B 	HR 	GS 	RBI 	BB 	IBB 	SO 	SH 	SF 	HBP 	GIDP AVG 	OBP  	SLG
Thomas	1994 	CWS 	113 	399 	106 	141 	34 	1 	38 	1 	101 	109 	12 	61 	0 	7 	2 	15 	.353 	.487 	.729
Thomas	1995 	CWS 	145 	493 	102 	152 	27 	0 	40 	0 	111 	136 	29 	74 	0 	12 	6 	14 	.308 	.454 	.606
Thomas	1996 	CWS 	141 	527 	110 	184 	26 	0 	40 	1 	134 	109 	26 	70 	0 	8 	5 	25 	.349 	.459 	.626
Thomas	1997 	CWS 	146 	530 	110 	184 	35 	0 	35 	0 	125 	109 	9 	69 	0 	7 	3 	15 	.347 	.456 	.611
Thomas	1998 	CWS 	160 	585 	109 	155 	35 	2 	29 	1 	109 	110 	2 	93 	0 	11 	6 	14 	.265 	.381 	.480
Thomas	1999 	CWS 	135 	486 	74 	148 	36 	0 	15 	0 	77 	87 	13 	66 	0 	8 	9 	14 	.305 	.414 	.471
Thomas	2000 	CWS 	159 	582 	115 	191 	44 	0 	43 	2 	143 	112 	18 	94 	0 	8 	5 	13 	.328 	.436 	.625
Thomas	2001 	CWS 	20 	68 	8 	15 	3 	0 	4 	0 	10 	10 	2 	12 	0 	1 	0 	0 	.221 	.316 	.441
Thomas	2002 	CWS 	148 	523 	77 	132 	29 	1 	28 	0 	92 	88 	2 	115 	0 	10 	7 	10 	.252 	.361 	.472
Thomas	2003 	CWS 	153 	546 	87 	146 	35 	0 	42 	1 	105 	100 	4 	115 	0 	4 	12 	11 	.267 	.390 	.562
Thomas	2004 	CWS 	74 	240 	53 	65 	16 	0 	18 	0 	49 	64 	3 	57 	0 	1 	6 	2 	.271 	.434 	.563
Thomas	2005 	CWS 	34 	105 	19 	23 	3 	0 	12 	0 	26 	16 	0 	31 	0 	3 	0 	2 	.219 	.315 	.590
Kingman	1971 	Giants 	41 	115 	17 	32 	10 	2 	6 	1 	24 	9 	0 	35 	0 	3 	1 	2 	.278 	.328 	.557
Kingman	1972 	Giants 	135 	472 	65 	106 	17 	4 	29 	1 	83 	51 	2 	140 	0 	4 	4 	9 	.225 	.303 	.462
Kingman	1973 	Giants 	112 	305 	54 	62 	10 	1 	24 	1 	55 	41 	3 	122 	1 	2 	2 	8 	.203 	.300 	.479
Kingman	1974 	Giants 	121 	350 	41 	78 	18 	2 	18 	0 	55 	37 	2 	125 	2 	1 	3 	8 	.223 	.302 	.440
Kingman	1975 	Mets 	134 	502 	65 	116 	22 	1 	36 	1 	88 	34 	5 	153 	1 	2 	4 	13 	.231 	.284 	.494
Kingman	1976 	Mets 	123 	474 	70 	113 	14 	1 	37 	0 	86 	28 	4 	135 	0 	3 	5 	11 	.238 	.286 	.506
Kingman	1977 	Mets 	58 	211 	22 	44 	7 	0 	9 	0 	28 	13 	3 	66 	0 	1 	3 	3 	.209 	.263 	.370
Kingman	1977 	Padres 	56 	168 	16 	40 	9 	0 	11 	2 	39 	12 	1 	48 	2 	3 	2 	3 	.238 	.292 	.488
Kingman	1977 	Angels 	10 	36 	4 	7 	2 	0 	2 	0 	4 	1 	0 	16 	1 	0 	1 	0 	.194 	.237 	.417
Kingman	1977 	Yankees 	8 	24 	5 	6 	2 	0 	4 	0 	7 	2 	0 	13 	0 	0 	1 	0 	.250 	.333 	.833
